Reg,Callsign,Country,Make,Model
ZK-IMK,IMK-(BA),New Zealand,EUROCOPTER,AS 350 BA
ZK-IML,IML-(520N),New Zealand,MCDONNELL DOUGLAS HELICOPTER COMPANY,520N
ZK-IMW,IMW-(EC130),New Zealand,AIRBUS HELICOPTERS,EC 130 T2
ZK-IMY,IMY-(B3),New Zealand,EUROCOPTER,AS 350 B3
ZK-INE,INE-(B3),New Zealand,AIRBUS HELICOPTERS,AS 350 B3
ZK-INF,INF-(B3),New Zealand,EUROCOPTER,AS 350 B3
ZK-INH,INH-(LR)-NO PAX,New Zealand,BELL HELICOPTER CO,206L-1
ZK-INT,INT-(B3),New Zealand,AIRBUS HELICOPTERS,AS 350 B3E
ZK-INZ,INZ-(500),New Zealand,MCDONNELL DOUGLAS HELICOPTER COMPANY,369E
ZK-IOI,IOI-(JR),New Zealand,BELL HELICOPTER CO,206B (III)
ZK-IOJ,IOJ-(B3),New Zealand,AIRBUS HELICOPTERS,AS 350 B3E
ZK-IOM,IOM-(B3),New Zealand,AIRBUS HELICOPTERS,AS 350 B3E
ZK-IOR,IOR-(FX2),New Zealand,AEROSPATIALE INDUSTRIES,AS350 FX2
ZK-IOX,IOX-(B3),New Zealand,EUROCOPTER,AS 350 B3
ZK-IPE,IPE-(B2),New Zealand,EUROCOPTER,AS 350 B2
ZK-IPG,IPG-(B2),New Zealand,EUROCOPTER,AS 350 B2
ZK-IPH,IPH-(500),New Zealand,MCDONNELL DOUGLAS HELICOPTER COMPANY,369D
ZK-IPP,IPP-(EC130),New Zealand,AIRBUS HELICOPTERS,EC 130 T2
ZK-IPR,IPR-(520N),New Zealand,MCDONNELL DOUGLAS HELICOPTER COMPANY,520N
ZK-IPW,IPW-(500),New Zealand,HUGHES HELICOPTERS,369D
ZK-IQT,IQT-(EC120),New Zealand,EUROCOPTER,EC 120 B
ZK-IRC,IRC-(JR),New Zealand,BELL HELICOPTER CO,206B
ZK-IRE,IRE-(BA)-NO PAX,New Zealand,EUROCOPTER,AS 350 BA
ZK-IRM,IRM-(B3),New Zealand,EUROCOPTER,AS 350 B3
ZK-ISR,ISR-(A119),New Zealand,AGUSTA AEROSPACE CORPORATION,A119
ZK-ITL,ITL-(LR),New Zealand,BELL HELICOPTER TEXTRON CANADA LIMITED,206L-4
ZK-ITN,ITN-(JR),New Zealand,BELL HELICOPTER CO,206B
