Unit ID,Tag
2008162,Rescue Pumper 250 - Canowindra
2008164,Tanker 202 - Abermain
2008165,Hazmat 260 - Newcastle
2008166,Pumper 043 - Seven Hills
2008167,Tanker 489 - Warragamba
2008170,CAFS Pumper 041 - Smithfield
2008171,Tanker 088 - Campbelltown
2008172,Pumper 280 Alpha - Dubbo
2008180,Pumper 405 - Nowra
2008182,Rescue Pumper 68 - Narrabeen
2008185,Tanker 264 - Coonabarabran
2008201,Tanker 340 - Umina
2008204,Hazmat 452 - Tamworth
2008205,HP 085 - Chester Hill
2008206,STP 092 - St Andrews
2008210,Tanker 505 - Wyong
2008212,HP 453 - Taree
2008218,CAFS Pumper 048 - Mortdale
2008220,Rescue Pumper 357 - Lambton
2008223,Pumper 022 - Leichhardt
2008224,Pumper 039 - Randwick
2008225,Rescue Pumper 477 - Ulladulla
2008229,Pumper 301 - Glenbrook
2008232,Pumper 255 - Charlestown
2008233,Pumper 260 - Newcastle
2008234,Pumper 505 - Wyong
2008239,DC - Illawarra
2008241,Tanker 450 - Saratoga
2008242,Pumper 050 - Hornsby
2008244,C 477 - Ulladulla
2008245,HR 102 - Regentville
2008247,Pumper 220 - Bellbird
2008258,Tanker 226 - Blackheath
2008260,Pumper 446 - Stockton
2008266,Pumper 514 - Banora Point
2008273,Pumper 506 - Wee Waa
2008284,Pumper 442 - Scarborough
2008287,Rescue Pumper 343 - Katoomba
2008289,Pumper 065 - Rydalmere
2008295,DC - North Coast 2
2008296,Rescue Pumper 412 - Orange
2008299,Pumper 357 - Lambton
2008303,HP 013 - Alexandria
2008304,Pumper 244 - Brewarrina
2008305,STT 005 - Newtown
2008307,Pumper 260 - Newcastle
2008309,Pumper 82 - Richmond
2008316,Tanker 458 - Teralba
2008318,Rescue Pumper 222 - Belmont
2008319,Rescue Pumper 241 - Bulli
2008321,Pumper 349 - Kurri Kurri
2008323,DC - Lower Hunter 3
2008326,Rescue Pumper 236 - Braidwood
2008331,H Support 260 - Newcastle
2008335,CAFS Pumper 263 - Cooma
2008338,Pumper 428 - Queanbeyan
2008341,HP 087 - Rosemeadow
2008346,Pumper 374 - Maitland
2008347,Pumper 052 - Campsie
2008350,SAR 7
2008355,DC - Central Coast
2008357,Pumper 514 - Banora Point
2008364,Pumper 417 - Parkes
2008371,Rescue Pumper 304 - Gosford
2008375,Pumper 364 - Lithgow
2008376,SI - Southern Highlands
2008377,Pumper 488 - Shellharbour
2008379,Pumper 493 - Wellington
2008380,Rescue Pumper 001 - City of Sydney
2008383,Tanker 222 - Belmont
2008385,Pumper 300 - Gilgandra
2008386,Pumper 446 - Stockton
2008387,Pumper 294 - Forbes
2008392,Pumper 094 - Kellyville
2008397,DC - South West
2008400,Rescue Pumper 248 - Queanbeyan
2008405,Rescue Pumper 428 - Queanbeyan
2008409,Team Leader H
2008415,CAFS Pumper 455 - Rutherford
2008418,Pumper 038 - Pyrmont
2008420,Pumper 344 - Kearsley
2008421,TR 357 - Lambton
2008423,Pumper 447 - Swansea
2008424,CAFS Pumper 040 - Willoughby
2008426,Pumper 341 Alpha - Kariong
2008427,Pumper 292 - Doyalson
2008429,Pumper 210 - Balgownie
2008430,Rescue Pumper 062 - Bankstown
2008432,Pumper 418 - Paxton
2008434,Tanker 395 - Merimbula
2008438,Pumper 346 - Kiama
2008439,CAFS Pumper 251 - Cardiff
2008442,Pumper 446 - Stockton
2008448,Pumper 314 - Gunnedah
2008457,Rescue Pumper 059 - Eastwood
2008459,Pumper 255 - Charlestown
2008461,Pumper 468 Bravo - Tweeds Head
2008466,Pumper 005 - Newtown
2008467,Pumper 076 - Bondi
2008471,Pumper 308 - Wallsend
2008472,LSV 351 - Bateau Bay
2008473,Pumper 084 - Macquarie Fields
2008481,Pumper 011 - Woollahra
2008483,Tanker 498 - Holmesville
2008487,Tanker 367 - Lightning Ridge
2008489,Tanker 500 - Tingira Heights
2008491,Aerial Pumper 462 - Mayfield West
2008497,Pumper 090 - Menai
2008502,CO2
2008504,Hazmat Tanker 387 - Mudgee
2008507,Rescue Pumper 444 - Singleton
2008510,Tanker 255 - Charlestown
2008511,Pumper 378 - Mittagong
2008516,ZC - Central Coast
2008519,Hazmat 399 - Narrabri
