Unit ID,Tag
2325414,Car 320
2325452,CFR 26
2325453,Sofala 21
2325461,Car 592 - Tweed
2325471,Car 455
2325478,Car 269
2325480,Car 254
2325490,CFR 11
2325501,Car 322 - Muswellbrook
2325511,Car 285
2325515,Car 304
2325558,Car 358
2325599,Car 200
2325611,Car 177
2325612,Car 451 – Laurieton
2325619,Car 835
2325632,Car 127
2325636,Inspector 12
2325638,Car 368 - Taree
2325640,Car 915 - Taree
2325641,Car 284
2325646,Car 292
2325651,Car 667
2325654,Car 667
2325678,Car 912
2325679,Car 912
2325682,Car 906
2325683,Penrith Station
2325722,Inspector 56
2325736,Car 912 - Port Macquarie
2325754,Car 805
2325759,Car 807
2325761,Car 807
2325765,Car 805
2325767,Car 992
2325768,Car 992
2325769,Car 989
2325770,Car 989
2325772,Car 859
2325784,Car 280
2325793,Car 829
2325807,Orange 908
2325815,Inspector 41
2325822,Molong Car 668
2325825,Car 918 - Taree
2325848,Car 5130
2325850,Car 830
2325869,Inspector 18
2325873,Car 301
2325876,Car 576
2325890,Car 327
2325891,Car 525
2325893,Inspector 124
2325894,Inspector 125
2325900,Car 913
2325901,Car 977
2325902,Car 977
2325909,Car 997
2325914,Car 995 - Ettalong
2325922,Car 809 - Tuncurry
2325929,Cowra Rescue 625
2325947,Car 326
2325951,Inspector 128
2325954,ECP 75
2325955,Inspector 18
2325958,Echo 30
2325962,ECP 74
2325967,ECP 73
2325970,Car 5229
2325973,Car 282
2325976,Cowra Car 625
2325980,Car 237
2325982,Car 236
2325985,Car 236
2325987,Car 237
2325988,Car 235
2325989,Orange Car 678
2325990,Orange Car 677
2325991,Car 235 - Doylson
2326001,CFR 40
2326008,Car 908
2326016,Car 911
2326019,Car 915
2326035,Car 5222
2326038,Car 5220
2326057,Car 264
2326088,Car 5225
2326116,Car 253 - Nelson Bay
2326125,Inspector 133
2326130,Car 321
2326139,Car 5249
2326149,Car 5241
2326166,Car 907
2326168,Car 808
2326176,Car 905
2326196,ECP 51
2326201,Car 210
2326208,Car 206
2326212,Car 997
2326214,Ettalong Station
2326223,Artarmon Station
2326225,Car 813
2326229,ECP 76
2326242,ECP 58
2326246,Car 403
2326247,Car 978
2326262,Car 531
2326272,Car 176
2326314,Car 917
2326354,Inspector 129
2326375,Car 5360
2326385,Car 358 - Tuncurry
2326407,ECP 85
2326426,Car 473 - Port Macquarie
2326460,Car 474
2326465,Car 309
2326466,Car 572
2326467,Car 582
2326497,Car 917
2326508,Car 491 - Laurieton
2326515,Car 445
2326521,Randwick Station
2326524,Car 356
2326525,Car 256
2326548,Car 968
2326568,Car 750
2326575,Car 329
2326589,ECP 24
2326613,Charlie 64
2326616,Car 321
2326621,Car 335
2326633,Car 527
2326636,ECP 60
2326637,Car 338
2326638,ECP 29
2326645,Car 527
2326647,Car 526
2326651,Car 365
2326658,Car 344
2326664,Car 367 - Taree
2326675,Car 529
2326677,Car 528
2326680,Car 528
2326681,Car 526
2326689,Car 833
2326706,Car 336
2326710,Car 311
2326729,Car 320
2326732,Car 309
2326738,Car 428
2326752,Car 981
2326753,Car 542
