Unit ID,Tag
2013422,Galston Station
2013424,Berowra Waters Station
2013500,CUMBERLAND COMMAND MIKE
2013501,Cumberland Transport 1
2013503,PLUMPTON 1A
2013504,PLUMPTON PC
2013506,HORSLEY PARK PUMPER
2013508,ERSKINE PARK Cat 7 ALPHA
2013512,ORCHARD HILLS Cat 1 ALPHA
2013517,WALLACIA Cat 1 ALPHA
2013519,MARSDEN PARK Cat 1
2013520,Marsden Park PC
2013523,Castlereigh PC Echo
2013527,EASTERN CREEK PC
2013528,MID COAST GROUP 2-1
2013529,NORTH ARM COVE Cat 1
2013531,Taree Pumper
2013532,MITCHELLS ISLAND Cat 1
2013533,MID COAST GROUP 3-2
2013534,Harrington Station
2013535,HARRINGTON Cat 7
2013538,KUNDLE MOTO Cat 2
2013540,OLD BAR Cat 1
2013541,WHERROL FLAT Cat 7
2013545,TAREE Cat 7
2013546,Marleee Cat 7
2013548,Johns River Cat 7
2013550,HANNAM VALE Cat 7
2013551,WALLABY JOE Cat 7
2013556,Midcoast Bus Bravo
2013558,MOORLAND Cat 2
2013559,Wallaby Joe Cat 9
2013560,BURRELL CREEK Cat 7
2013561,LANSDOWNE Cat 1
2013562,Lansdowne Cat 9
2013563,KILLABAKH Cat 9
2013566,Tenonie Cat 7
2013568,CHARMHAVEN Cat 9
2013569,FIREFLY Cat 7
2013571,COOPERNOOK Cat 1
2013572,Lake George PC Alpha
2013573,Mid Coast Group 31
2013574,NABIAC Cat 1
2013575,Central Coast Aviation PC
2013576,KRAMBACH Cat 9
2013578,Diamond Beach Cat 1
2013583,Nabiac Cat 9
2013584,MID COAST PC KILO
2013585,Mount George Cat 1
2013586,Old Bar Cat 7
2013610,Stroud Cat 1
2013611,DIAMOND BEACH Cat 7
2013612,Bulahdelah Cat 1
2013613,COOMBA PARK Cat 7
2013614,MID COAST PC JULIET
2013616,MID COAST PC HOTEL
2013617,Rainbow Flats Cat 7
2013619,Thulloo Cat 7
2013622,LIMEBURNERS CREEK Cat 7
2013623,Stroud Road Cat 2
2013624,MID COAST PC LIMA
2013626,TUNCURRY Cat 7
2013629,Green Point Cat 7 Alpha
2013630,NORTH ARM COVE Cat 9
2013633,MID COAST BUS DELTA
2013637,Diamond Beach Station
2013638,MID COAST GROUP 2-2
2013639,Mid Coast OCV
2013640,BULAHDELAH Cat 9
2013642,Pindimar_Tea Gardens Cat 1
2013643,GREEN POINT Cat 7 BRAVO
2013645,COOLONGOLOOK Cat 1
2013646,GLOUCESTER Cat 1
2013649,Wootton Cat 1
2013650,BULAHDELAH PUMPER
2013651,COOMBA PARK Cat 1
2013653,PINDIMAR Cat 9
2013654,Limeburners Creek Cat 1
2013655,Mid Coast PC Juliet
2013656,Pacific Palms Cat 1
2013659,PINDIMAR / TEA GARDENS Cat 7
2013661,MID COAST GROUP 2-4
2013662,PACIFIC PALMS PUMPER
2013663,North Arm Cove Cat 1
2013679,BOWMAN RIVER Cat 7
2013682,Orange Cat 1 Alpha
2013689,MID COAST GROUP 4-5
2013695,MID COAST SUPPORT DELTA
2013698,Horsley Park Cat 9
2013699,MULGOA Cat 1
2013700,REGENTVILLE Cat 1 BRAVO
2013713,CHIFLEY LITHGOW PC ALPHA
2013714,Westleigh Cat 1 Alpha
2013717,Llandilo Cat 1
2013719,Cumberland Command Kilo
2013724,Berowra Cat 7
2013725,Regentville Cat 1 Alpha
2013727,Cumberland Command Kilo
2013730,LONDONDERRY PUMPER
2013732,SCHOFIELDS Cat 1 BRAVO
2013734,Cumberland Command Echo
2013736,Cumberland Command Echo
2013738,ERSKINE PARK Cat 1 BRAVO
2013739,EASTERN CREEK Cat 1
2013743,Castlereigh Station
2013745,Firecomms - State Op
2013751,Firecomms - OCC
2013786,Fire Comms
