id,address,alias,agency,icon,color,pluginconf,ignore
967,1419100,Wollongong SES,SES,exclamation-triangle,yellow,{},0
1053,1419224,CONISTON,SES,exclamation-triangle,yellow,{},0
968,1430008,Southern Highlands Broadcast Message,RFS,fire-alt,orange,{},0
969,1430112,Southern Highlands Comms Support Unit,RFS,fire-alt,orange,{},0
970,1430128,Southern Highlands - Alpine Brigade,RFS,fire-alt,orange,{},0
971,1430152,Southern Highlands - Avoca Brigade,RFS,fire-alt,orange,{},0
972,1430176,Southern Highlands - Balmoral Brigade,RFS,fire-alt,orange,{},0
973,1430200,Southern Highlands - Berrima Brigade,RFS,fire-alt,orange,{},0
974,1430224,Southern Highlands - Bundanoon Brigade,RFS,fire-alt,orange,{},0
975,1430248,Southern Highlands - Burawang Brigade,RFS,fire-alt,orange,{},0
976,1430280,Southern Highlands - Canyonleigh Brigade,RFS,fire-alt,orange,{},0
977,1430304,Southern Highlands - Colo Vale Brigade,RFS,fire-alt,orange,{},0
978,1430352,Southern Highlands - Exeter Brigade,RFS,fire-alt,orange,{},0
979,1430376,Southern Highlands - Hill Top Brigade,RFS,fire-alt,orange,{},0
980,1430400,Southern Highlands - Mandemar Brigade,RFS,fire-alt,orange,{},0
981,1430448,Southern Highlands - Mittagong Brigade,RFS,fire-alt,orange,{},0
982,1430472,Southern Highlands - Moss Vale Brigade,RFS,fire-alt,orange,{},0
983,1430496,Southern Highlands - Penrose Brigade,RFS,fire-alt,orange,{},0
984,1430520,Southern Highlands - Robertson Brigade,RFS,fire-alt,orange,{},0
985,1430544,Southern Highlands - Wingello Brigade,RFS,fire-alt,orange,{},0
986,1430568,Southern Highlands - Woodlands Brigade,RFS,fire-alt,orange,{},0
987,1430592,Southern Highlands - Yerrinbool Brigade,RFS,fire-alt,orange,{},0
988,1430616,Southern Highlands - Wollondilly Brigade,RFS,fire-alt,orange,{},0
989,1440008,Southern Highlands Broadcast Message,RFS,fire-alt,orange,{},0
990,1440016,Southern Highlands - Wollondilly Comms Support Unit,RFS,fire-alt,orange,{},0
991,1440024,Southern Highlands Broadcast Message,RFS,fire-alt,orange,{},0
992,1440032,Southern Highlands - Appin Brigade,RFS,fire-alt,orange,{},0
993,1440040,Southern Highlands - Bargo Brigade,RFS,fire-alt,orange,{},0
994,1440048,Southern Highlands - Buxton Brigade,RFS,fire-alt,orange,{},0
995,1440056,Southern Highlands - Cawdor Brigade,RFS,fire-alt,orange,{},0
996,1440064,Southern Highlands - Douglas Park Brigade,RFS,fire-alt,orange,{},0
997,1440072,Southern Highlands - Lakesland Brigade,RFS,fire-alt,orange,{},0
998,1440080,Southern Highlands - Menangle Brigade,RFS,fire-alt,orange,{},0
999,1440088,Southern Highlands - Mount Hunter Brigade,RFS,fire-alt,orange,{},0
1000,1440096,Southern Highlands - Oakdale Brigade,RFS,fire-alt,orange,{},0
1001,1440104,Southern Highlands - Werombi Brigade,RFS,fire-alt,orange,{},0
1002,1440112,Southern Highlands - Pheasants Nest Brigade,RFS,fire-alt,orange,{},0
1003,1440120,Southern Highlands - Picton Brigade,RFS,fire-alt,orange,{},0
1004,1440128,Southern Highlands - Silverdale Brigade,RFS,fire-alt,orange,{},0
1005,1440136,Southern Highlands - Tahmoor Brigade,RFS,fire-alt,orange,{},0
1006,1440144,Southern Highlands - The Oaks Brigade,RFS,fire-alt,orange,{},0
1007,1440152,Southern Highlands - Theresa Park Brigade,RFS,fire-alt,orange,{},0
1008,1440160,Southern Highlands - Thirlmere Brigade,RFS,fire-alt,orange,{},0
1009,1440168,Southern Highlands - Wilton Brigade,RFS,fire-alt,orange,{},0
1010,1440176,Southern Highlands - Yanderra Brigade,RFS,fire-alt,orange,{},0
1011,1440184,Southern Highlands - Wollondilly FCO1,RFS,fire-alt,orange,{},0
1012,1440224,Southern Highlands - Wollondilly Group 5,RFS,fire-alt,orange,{},0
1013,1440240,Southern Highlands - Wollobdilly FCO,RFS,fire-alt,orange,{},0
1014,1440256,Southern Highlands - Wollondilly Group 3,RFS,fire-alt,orange,{},0
1015,1440568,Southern Highlands - Wollondilly Captains,RFS,fire-alt,orange,{},0
1016,1490024,Northern - Unknown??,RFS,fire-alt,orange,{},0
1017,1510088,Canobolas - Unknown??,RFS,fire-alt,orange,{},0
1018,1510208,Canobolas - Spring Hill/Huntley Brigade,RFS,fire-alt,orange,{},0
1019,1510360,Canobolas - Eugowra Brigade,RFS,fire-alt,orange,{},0
1020,1510456,Canobolas - Unknown??,RFS,fire-alt,orange,{},0
1021,1510504,Canobolas - Moorbel Brigade,RFS,fire-alt,orange,{},0
1022,1510752,Canobolas - Ponds Brigade,RFS,fire-alt,orange,{},0
1023,1510768,Canobolas - Lidster Brigade,RFS,fire-alt,orange,{},0
1024,1510816,Canobolas - Mullion Creek Brigade,RFS,fire-alt,orange,{},0
1025,1510936,Canobolas - Cumnock Brigade,RFS,fire-alt,orange,{},0
1026,1511000,Canobolas - Yeoval Brigade,RFS,fire-alt,orange,{},0
1027,1519000,Canobolas - Canowindra Brigade,RFS,fire-alt,orange,{},0
1028,1519008,Canobolas - Eugowra Brigade,RFS,fire-alt,orange,{},0
1029,1519072,Molong SES,SES,exclamation-triangle,yellow,{},0
1030,1519080,Orange SES,SES,exclamation-triangle,yellow,{},0
1145,1888072,Cessnock District Rescue Squad,Volunteer Rescue Association,car,green,{},0
1146,1888264,Taree Rescue Squad,Volunteer Rescue Association,car,green,{},0
1031,1990080,Southern Highlands - Sutherland Brigade FCO 4,RFS,fire-alt,orange,{},0
1032,1990120,Sutherland Group Officers,RFS,fire-alt,orange,{},0
1033,1990168,Sutherland - Bundeena Brigade,RFS,fire-alt,orange,{},0
1034,1990176,Sutherland - Engadine Brigade,RFS,fire-alt,orange,{},0
1035,1990184,Sutherland - Grays Point Brigade,RFS,fire-alt,orange,{},0
1036,1990192,Sutherland - Heathcote Brigade,RFS,fire-alt,orange,{},0
1037,1990200,Sutherland - Illawong Brigade,RFS,fire-alt,orange,{},0
1038,1990208,Sutherland - Kurnell Brigade,RFS,fire-alt,orange,{},0
1039,1990216,Sutherland - Loftus Brigade,RFS,fire-alt,orange,{},0
1040,1990224,Sutherland - Maianbar Brigade,RFS,fire-alt,orange,{},0
1041,1990232,Sutherland - Menai Brigade,RFS,fire-alt,orange,{},0
1042,1990240,Sutherland - Sandy Point Brigade,RFS,fire-alt,orange,{},0
1043,1990248,Sutherland - Waterfall Brigade,RFS,fire-alt,orange,{},0
1044,1990256,Sutherland - Woronora Brigade,RFS,fire-alt,orange,{},0
1045,1990552,Sutherland Comms Support Unit,RFS,fire-alt,orange,{},0
1046,1990584,Sutherland Broadcast Message,RFS,fire-alt,orange,{},0
1144,2000008,RFS State Comms,RFS,fire-alt,orange,{},0
1047,2001016,Lower Hunter - Region East RDO,RFS,fire-alt,orange,{},0
